frecuencia,perdida_agregada
80,576592.3622236699
84,571423.5189686052
78,522341.6948782093
83,622758.5208833077
85,546898.696701625
72,532680.7848687114
83,643490.5509222941
79,672158.473471485
92,645681.4901875986
82,449790.7094394502
71,636233.9612306644
73,489275.7005139912
93,794563.9551527252
102,747679.6637579668
87,640442.8587968718
82,818034.0712581029
90,636846.6571147463
100,707827.7649418479
75,432051.43149133364
85,608292.3034525672
77,664031.4601385777
95,674494.1429926809
99,687331.8087747219
72,577288.2896614331
66,398114.11532508885
89,497472.73625683424
73,713779.2364477823
78,603184.3749117297
81,522940.08160204143
73,524276.83711218747
72,498577.69204339955
84,584772.5291208458
83,626717.1303937377
101,800353.7061534086
79,703826.7014444629
73,483616.5843236155
76,470477.0578749486
88,690207.8485136388
84,652719.849992076
85,629945.8223663406
83,544951.360614016
80,467247.4847997761
79,572612.8454410888
69,673908.4530711086
69,573470.6072738261
86,580307.3072410942
79,607071.2332478791
84,538025.2464048625
81,640847.8629684548
78,591508.3460978048
78,537762.2264156843
98,627533.4039140751
91,656143.9733815725
81,552402.9114487224
82,653086.4194333226
87,549699.1414816102
63,455610.1861481364
82,562238.8756547517
87,733724.2723185953
77,590257.7673293721
71,480904.11940332915
84,560407.8205519893
67,485596.51779880264
88,683376.1082839235
79,571765.9272276126
63,435943.2482097289
89,587793.6887634309
72,531285.870642935
91,680398.4299898162
101,747531.595567832
74,600917.4973426964
79,589977.1913543668
75,534104.0466144426
76,529533.6145080454
78,705549.5822384212
84,624699.9620059382
81,683796.3493580137
79,588948.6073138326
94,633989.9768920743
94,860222.6259261742
87,637096.4653780657
87,596953.5305878209
72,606787.1484904361
84,625099.5935613664
58,481484.66602963686
80,702236.0823508595
106,831266.2427772352
83,562567.9624331987
83,488164.7395337504
82,642706.3340275071
77,518760.82303050574
74,455752.3007219412
84,658461.4589013115
82,614033.7399539951
74,477742.05190492515
80,507331.0999986924
80,498970.27000634023
67,488746.4906500488
78,688056.3007351495
68,527703.5596105214
95,642405.1240502947
93,838905.6202959435
67,613771.1202158941
80,478374.9720868306
88,696816.5200463012
67,510499.93452234997
102,616873.1205083745
85,628871.8585315382
81,682857.3738426977
70,526986.1828650503
78,539247.5709219284
73,369655.180126689
77,619115.518656029
71,542831.4355781348
72,470413.4099001555
74,517219.3341070029
96,725314.9934612773
85,549862.9439099978
83,665489.144727131
70,385988.19092459563
95,699736.6446331032
82,639759.3465950285
87,716291.7821066112
71,404949.19223762717
79,593471.9724694045
72,519952.58440932434
77,560269.0453763776
74,504958.9260999167
83,502714.25969373086
82,558333.5627039401
71,476664.1413108967
79,508611.32333899476
90,623887.0946766579
88,760379.1694519791
72,473713.71109870577
74,566500.7597130887
80,644376.8214354528
64,478232.85115305753
80,622611.9144714195
88,797518.2217110414
71,479861.1159729929
71,548299.3617266591
80,595251.2125933666
76,413805.20769788494
65,492989.0182067883
78,630283.9757628881
62,461882.4800192722
63,453197.46969252155
70,426903.3021114096
94,634179.242222872
63,421005.5145629308
78,568772.8918167064
89,651079.3180372469
78,608810.9002063327
75,596301.1470304952
83,615087.2143308895
91,604397.2046898183
69,419865.32190993015
92,611610.1466924441
75,660997.6101988975
73,415331.79152232833
97,677377.587808697
81,606323.4812733257
71,587373.7669976084
95,672537.2201190589
82,748591.8566392232
85,753800.1122937417
79,566620.5908733407
76,571803.3135084335
92,559097.2681428294
86,672110.3800870507
87,654574.5902323307
79,708404.1775995546
81,647471.3316396367
78,587348.2581549425
89,660429.2172341017
75,581802.9128830147
75,474465.2037280786
79,625133.6340947128
77,514672.54687997
94,773002.9200134176
80,611128.0512774147
77,572468.6857740247
75,510069.3504758565
77,444690.8487282414
88,633274.5813528153
76,539159.0060764083
86,634364.610963232
76,501741.46710610524
77,523172.85437384044
79,628646.2781715156
77,491950.1514696075
81,600937.7073353463
106,810289.0348352673
69,510127.34425353707
86,651756.2235357567
75,557699.8810152195
65,474926.948542014
94,664329.1292636622
85,624840.8188013008
73,500402.8705827408
75,508012.09799374087
90,677304.8393606689
87,707569.0660385487
77,612229.2875180249
69,487581.18428437744
82,607900.5869334753
61,450123.56130948284
87,614549.8178997963
79,519451.99511237047
77,527265.3374893679
96,686081.5646246213
86,664585.889954418
75,527361.1948283412
74,543159.6236293772
80,455186.84466892347
82,616239.9382938812
80,746938.8612864024
77,566934.8681825093
86,546137.2988394585
77,623592.7435479254
86,579381.8815610348
83,790006.2723259757
61,431165.767226876
84,611663.3296367193
48,363361.9429860944
68,470375.7378952082
91,607189.964190561
78,546336.2907244844
77,534117.0353149237
73,479286.2261202264
60,518945.21230237
66,545723.07135801
69,624247.6724381516
